Relocate,End Customer,DS_TOP_PO_NAME (DB_PRIORITY_FAST),Top PO Order Aim,Top PO Specification,Top PO Admin Number,Status (Tgs Top Ord),Task Assigned To,Task Name,Task Status
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093374123,Disconnect,MPLS VPN Site,20110210-SITEMPLS-0000165121,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093374123,Disconnect,MPLS VPN Site,20110210-SITEMPLS-0000165121,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #079209550,Disconnect,MPLS VPN Site,MPLSVPN Site-0001018351,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #079209550,Disconnect,MPLS VPN Site,MPLSVPN Site-0001018351,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #079209550,Disconnect,MPLS VPN Site,MPLSVPN Site-0001018351,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810501,Disconnect,MPLS VPN Site,MPLSVPN Site-0001002972,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810501,Disconnect,MPLS VPN Site,MPLSVPN Site-0001002972,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Atlantis Healthcare Group Inc,Disconnect TEPRC ATLAN DIA-Internet Access #093385590,Disconnect,Internet Access,INETAccess-0001037086,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Atlantis Healthcare Group Inc,Disconnect TEPRC ATLAN DIA-Internet Access #093385590,Disconnect,Internet Access,INETAccess-0001037086,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT Fast Mobile Service #093377248,Disconnect,MPLS VPN FMS,Fast Mobile Service-0001063417,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT Fast Mobile Service #093377248,Disconnect,MPLS VPN FMS,Fast Mobile Service-0001063417,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT Fast Mobile Service #093377248,Disconnect,MPLS VPN FMS,Fast Mobile Service-0001063417,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT Fast Mobile Service #093377248,Disconnect,MPLS VPN FMS,Fast Mobile Service-0001063417,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT Fast Mobile Service #093377248,Disconnect,MPLS VPN FMS,Fast Mobile Service-0001063417,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,PROCALIDAD,Disconnect TMGUA PROC MPLS VPN Site #084808891,Disconnect,MPLS VPN Site,20110125-SITEMPLS-0000164659,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,PROCALIDAD,Disconnect TMGUA PROC MPLS VPN Site #084808891,Disconnect,MPLS VPN Site,20110125-SITEMPLS-0000164659,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,PROCALIDAD,Disconnect TMGUA PROC MPLS VPN Site #084808891,Disconnect,MPLS VPN Site,20110125-SITEMPLS-0000164659,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403982,Disconnect,MPLS VPN Site,20170210-SITEMPLS-0000423944,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403982,Disconnect,MPLS VPN Site,20170210-SITEMPLS-0000423944,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403982,Disconnect,MPLS VPN Site,20170210-SITEMPLS-0000423944,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093405306,Disconnect,MPLS VPN Site,20090713-SITEMPLS-0000050387,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093405306,Disconnect,MPLS VPN Site,20090713-SITEMPLS-0000050387,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093405306,Disconnect,MPLS VPN Site,20090713-SITEMPLS-0000050387,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,Nokia Siemens Networks,Disconnect TEUSA NSN MPLS VPN Site #069736045,Disconnect,MPLS VPN Site,20171009-SITEMPLS-0000431754,Processing,Termination Team- ,Terminate Supplier Order,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403967,Disconnect,MPLS VPN Site,MPLSVPN Site-0001020164,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403967,Disconnect,MPLS VPN Site,MPLSVPN Site-0001020164,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Parfois,Disconnect NOS PARFO MPLS VPN Site #084782267,Disconnect,MPLS VPN Site,20160607-SITEMPLS-0000408026,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Parfois,Disconnect NOS PARFO MPLS VPN Site #084782267,Disconnect,MPLS VPN Site,20160607-SITEMPLS-0000408026,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Parfois,Disconnect NOS PARFO MPLS VPN Site #084782267,Disconnect,MPLS VPN Site,20160607-SITEMPLS-0000408026,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,Parfois,Disconnect NOS PARFO MPLS VPN Site #084782267,Disconnect,MPLS VPN Site,20160607-SITEMPLS-0000408026,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093400986,Disconnect,MPLS VPN Site,20150618-SITEMPLS-0000397047,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093400986,Disconnect,MPLS VPN Site,20150618-SITEMPLS-0000397047,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093400986,Disconnect,MPLS VPN Site,20150618-SITEMPLS-0000397047,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093401461,Disconnect,MPLS VPN Site,20090713-SITEMPLS-0000050379,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093401461,Disconnect,MPLS VPN Site,20090713-SITEMPLS-0000050379,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093401461,Disconnect,MPLS VPN Site,20090713-SITEMPLS-0000050379,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810483,Disconnect,MPLS VPN Site,20151014-SITEMPLS-0000400607,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810483,Disconnect,MPLS VPN Site,20151014-SITEMPLS-0000400607,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CORTEFIEL,Disconnect TDESP CORTE MPLS VPN Site #093364311,Disconnect,MPLS VPN Site,20151110-SITEMPLS-0000401292,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CORTEFIEL,Disconnect TDESP CORTE MPLS VPN Site #093364311,Disconnect,MPLS VPN Site,20151110-SITEMPLS-0000401292,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CORTEFIEL,Disconnect TDESP CORTE MPLS VPN Site #093364311,Disconnect,MPLS VPN Site,20151110-SITEMPLS-0000401292,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT DIA-Internet Resale Unmanaged #093407223,Disconnect,Unmanaged Internet Resale,INETResale-0001004323,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT DIA-Internet Resale Unmanaged #093407223,Disconnect,Unmanaged Internet Resale,INETResale-0001004323,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403916,Disconnect,MPLS VPN Site,20170210-SITEMPLS-0000423942,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403916,Disconnect,MPLS VPN Site,20170210-SITEMPLS-0000423942,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403916,Disconnect,MPLS VPN Site,20170210-SITEMPLS-0000423942,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,AGF ALLIANZ ARGENTINA CIA. DE SEGUROS,Disconnect TEARG ALLAR Generic SIGMA Service #093366735,Disconnect,Generic SIGMA Service,20170925-GENMNC-0000431400,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,AGF ALLIANZ ARGENTINA CIA. DE SEGUROS,Disconnect TEARG ALLAR Generic SIGMA Service #093366735,Disconnect,Generic SIGMA Service,20170925-GENMNC-0000431400,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,AGF ALLIANZ ARGENTINA CIA. DE SEGUROS,Disconnect TEARG ALLAR Generic SIGMA Service #093366735,Disconnect,Generic SIGMA Service,20170925-GENMNC-0000431400,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810614,Disconnect,MPLS VPN Site,MPLSVPN Site-0001002973,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810614,Disconnect,MPLS VPN Site,MPLSVPN Site-0001002973,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #084795836,Disconnect,MPLS VPN Site,20160425-SITEMPLS-0000406965,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #084795836,Disconnect,MPLS VPN Site,20160425-SITEMPLS-0000406965,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #084795836,Disconnect,MPLS VPN Site,20160425-SITEMPLS-0000406965,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #084795836,Disconnect,MPLS VPN Site,20160425-SITEMPLS-0000406965,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403865,Disconnect,MPLS VPN Site,20150525-SITEMPLS-0000396510,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403865,Disconnect,MPLS VPN Site,20150525-SITEMPLS-0000396510,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,INDUSTRIA DE DISEÑO TEXTIL S.A.,Disconnect TDESP INDIT MPLS VPN Site #093403865,Disconnect,MPLS VPN Site,20150525-SITEMPLS-0000396510,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810599,Disconnect,MPLS VPN Site,20101112-SITEMPLS-0000162867,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,british petroleum,Disconnect HUGHE BP. MPLS VPN Site #084810599,Disconnect,MPLS VPN Site,20101112-SITEMPLS-0000162867,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #084810658,Disconnect,MPLS VPN Site,MPLSVPN Site-0001030401,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #084810658,Disconnect,MPLS VPN Site,MPLSVPN Site-0001030401,Processing,Termination Team- ,Validate Disconnection Data,Waiting
Not Relocate PO,CEMEX,Disconnect TMSLA CEMEX MPLS VPN Site #084810658,Disconnect,MPLS VPN Site,MPLSVPN Site-0001030401,Processing,Termination Team- ,Validate Disconnection Data,Waiting
